配列|同じ型のデータを連続して並べ、番号(添字)で取り出せるようにしたデータ構造。|a[0]、a[1]、a[2]…のように番号で要素を指定する。
リスト|データを鎖のようにつなげて並べたデータ構造。各要素が次の要素の位置(ポインタ)を持つ。|途中への挿入・削除がポインタのつなぎ替えだけで済む。
スタック|最後に入れたデータを最初に取り出す(後入れ先出し、LIFO)データ構造。|積み重ねた皿は、最後に置いた皿から取る。
キュー|最初に入れたデータを最初に取り出す(先入れ先出し、FIFO)データ構造。|レジの行列は、先に並んだ人から順に会計する。
木構造|根(ルート)から枝分かれして葉へ向かう階層的なデータ構造。|フォルダの階層構造。
二分木|各節点の子が最大2つの木構造。|左の子と右の子がある。
二分探索木|左の子は親より小さく、右の子は親より大きくなるよう作った二分木。探索が速い。
コーディング規約|プログラムの書き方について、チームで決めたルール。
コードレビュー|書かれたプログラムを、他の人が読んで確認すること。
リファクタリング|外部から見た動作を変えずに、プログラムの内部構造を整理すること。
ライブラリ|よく使う機能を、部品としてまとめたプログラムの集まり。
API|ソフトウェアの機能を、他のプログラムから利用するための決まり事。
フレームワーク|アプリケーション開発の、土台となる骨組みを提供するソフトウェア。
単体テスト|モジュールなど、プログラムの最小単位ごとに行うテスト。
結合テスト|複数のモジュールを組み合わせて、連携が正しく動くか確かめるテスト。
システムテスト|システム全体が、要件どおりに動くか確かめるテスト。
運用テスト|実際の運用に近い環境で、利用者が動作を確かめるテスト。
受入れテスト|発注者が、納品されたシステムが要件を満たすか確かめるテスト。
ブラックボックステスト|内部の構造は気にせず、入力と出力だけを確かめるテスト。
ホワイトボックステスト|プログラムの内部の構造を見て、処理経路を網羅して確かめるテスト。
同値分割|入力値を、同じ結果になるグループに分けて、代表値でテストする方法。
限界値分析|範囲の境目の値(限界値)を選んでテストする方法。
命令網羅|すべての命令を、少なくとも1回は実行するテスト。
判定条件網羅|判定条件の結果が、真と偽の両方になるようにするテスト。
条件網羅|判定を構成する個々の条件が、真と偽の両方になるようにするテスト。
トップダウンテスト|上位のモジュールから順にテストする方法。
ボトムアップテスト|下位のモジュールから順にテストする方法。
スタブ|テスト対象から呼ばれる、下位モジュールの代わりになる仮のモジュール。
ドライバ|テスト対象を呼び出す、上位モジュールの代わりになる仮のモジュール。
回帰テスト|プログラムを修正した後、他の部分に悪影響が出ていないか確かめるテスト。リグレッションテストともいう。
デバッグ|プログラムの誤り(バグ)を見つけて、修正すること。
保守|運用が始まった後に、不具合の修正や機能の改善を行うこと。
ソフトウェア保守|ソフトウェアを、環境の変化や要望に合わせて修正すること。
リバースエンジニアリング|完成した製品を分析して、設計や仕様を調べること。
移行|新しいシステムへ、データや運用を切り替えること。
並行運用|新旧のシステムを、同時に動かして切り替える移行方法。
ユーザーインタフェース|利用者とコンピュータの間で、情報をやり取りする接点や仕組み。UIともいう。
GUI|アイコンやウィンドウをマウスなどで操作する、視覚的なユーザーインタフェース。
CUI|キーボードから文字で命令を入力して操作する、ユーザーインタフェース。
UX|製品やサービスを使うときに、利用者が得る体験全体のこと。
ユーザビリティ|使いやすさ。利用者が目的を、効率よく満足に達成できる度合い。
アクセシビリティ|高齢者や障害のある人を含め、誰もが情報や機能を利用できる度合い。
ユニバーサルデザイン|年齢や能力にかかわらず、できるだけ多くの人が使えるように設計する考え方。
ウィジェット|ボタンやチェックボックスなど、画面を構成する部品。
メニュー|操作の選択肢を一覧にして見せる画面部品。
ラジオボタン|複数の選択肢から、1つだけ選ぶための部品。
チェックボックス|複数の選択肢から、いくつでも選べる部品。
プルダウンメニュー|クリックすると選択肢が下に表示される部品。
UIデザイン|画面の配置や色など、使いやすい画面を設計すること。
レスポンシブデザイン|画面の大きさに応じて、表示の配置を自動的に調整するWebデザイン。
画面設計|入力や表示のための画面を設計すること。
帳票設計|請求書や納品書などの書類の様式を設計すること。
入力チェック|入力された値が、正しい形式かどうかを確かめること。
コード設計|物や人を管理しやすいように、番号や記号(コード)の付け方を決めること。
チェックディジット|コードの入力誤りを見つけるために、末尾に付ける検査用の数字。
順番コード|データに、連続した番号を順番に付けるコード。
桁別コード|桁ごとに意味を持たせたコード。
ニモニックコード|コードを見ただけで内容を連想できるように、文字を使ったコード。
Webデザイン|Webサイトの見た目や使いやすさを設計すること。
ハイパーリンク|Webページの文字や画像から、ほかのページへ移動できるようにした仕組み。
Cookie|Webサイトが、利用者の情報をブラウザに一時的に保存する仕組み。
Webアクセシビリティ|障害の有無や利用環境にかかわらず、Webの情報を利用できること。
SEO|検索エンジンで、Webサイトが上位に表示されやすくする工夫。
マルチメディア|文字、音声、画像、動画などを組み合わせて扱う技術。
ビットマップ画像|画像を、画素(ピクセル)の点の集まりで表現する形式。拡大すると粗くなる。
ベクタ画像|画像を、点や線などの数式で表現する形式。拡大しても粗くならない。
JPEG|写真などに向く、静止画の圧縮形式。圧縮すると画質が劣化する(非可逆圧縮)。
GIF|256色まで扱える、簡単なアニメーションもできる静止画の圧縮形式。
PNG|画質を劣化させず(可逆圧縮)に圧縮でき、透明も扱える静止画の形式。
MPEG|動画や音声のデータを圧縮する規格の総称。
MP3|音楽などの音声データを圧縮する形式。
MP4|動画や音声などを1つにまとめて格納するファイル形式。
ストリーミング|ダウンロードの完了を待たず、受信しながら再生する配信方式。
圧縮|データの大きさを、小さくすること。
可逆圧縮|圧縮したものを、元のデータと全く同じに戻せる圧縮方式。
非可逆圧縮|圧縮すると、元のデータには完全に戻せない圧縮方式。
画素|画像を構成する、最小の点。ピクセルともいう。
フレームレート|動画で、1秒あたりに表示する画像(フレーム)の枚数。単位はfps。
色の三原色(光)|光の色を表す赤・緑・青の3色。RGBともいう。
色の三原色(色材)|インクなどの色を表すシアン・マゼンタ・イエローの3色。CMYともいう。
CG|コンピュータを使って作った画像や映像。
AR|現実の景色に、コンピュータの情報を重ねて表示する技術。拡張現実ともいう。
VR|コンピュータで作った世界を、現実のように体験させる技術。仮想現実ともいう。
MR|現実の世界と仮想の世界を融合させ、相互に影響し合うようにする技術。複合現実ともいう。
モーションキャプチャ|人の動きを取り込んで、コンピュータ上のキャラクタに反映させる技術。
